epoch,loss,accuracy,precision,recall,f1,lr
1,3.3482050329270128,0.3376652986776106,0.5285031736924023,0.3376652986776106,0.36392339020526876,0.0001
2,1.9590931512751755,0.7932056543547652,0.8087634230068977,0.7932056543547652,0.7867776407841113,0.0001
3,1.1928550058774519,0.8682170542635659,0.8687299979914148,0.8682170542635659,0.8671431129801365,0.0001
4,0.9929197876082672,0.9183766529867761,0.9189384224147403,0.9183766529867761,0.9180830820105712,0.0001
5,0.8969913479187039,0.9434564523483812,0.9435938290544211,0.9434564523483812,0.9433821445286171,0.0001
6,0.8339483835791759,0.9623803009575923,0.9626236827442318,0.9623803009575923,0.9623576295127443,0.0001
7,0.7905113688354561,0.9790241678066576,0.9792317048408665,0.9790241678066576,0.9790193184403542,0.0001
8,0.7640239349848812,0.9847241222070223,0.9848083045430959,0.9847241222070223,0.9847136503876802,0.0001
9,0.7431158884659892,0.9904240766073872,0.9905354095601979,0.9904240766073872,0.9904240921650015,0.0001
10,0.7285086057308978,0.9927040583675331,0.9927529462575464,0.9927040583675331,0.9927057953856767,0.0001
11,0.7192987296551915,0.9945280437756497,0.9945611961431758,0.9945280437756497,0.9945216781049243,0.0001
12,0.7112869202030667,0.9956680346557227,0.9956979579294195,0.9956680346557227,0.9956688448724771,0.0001
13,0.7053018023964481,0.9970360237118103,0.9970685384838454,0.9970360237118103,0.9970400410309884,0.0001
14,0.7018136150805416,0.9981760145918832,0.9981908526943444,0.9981760145918832,0.9981767959669141,0.0001
15,0.6974110323927254,0.998860009119927,0.9988695264242471,0.998860009119927,0.9988599798800735,0.0001
16,0.6953088445202488,0.9979480164158687,0.9979612845987316,0.9979480164158687,0.9979470241794758,0.0001
17,0.6903755081009767,0.9993160054719562,0.9993217123860078,0.9993160054719562,0.9993159925398027,0.0001
18,0.6865717783074263,0.9995440036479708,0.999547671060492,0.9995440036479708,0.999543956706795,1e-05
19,0.6865529256273609,0.9997720018239854,0.9997738861064318,0.9997720018239854,0.9997720018239854,1e-05
20,0.6851553947372193,0.9997720018239854,0.9997739505263444,0.9997720018239854,0.9997720369108242,1e-05
21,0.684570637458109,0.9995440036479708,0.9995476988939993,0.9995440036479708,0.9995439265116652,1e-05
22,0.6861633390147448,0.9995440036479708,0.9995477423277387,0.9995440036479708,0.9995440149614769,1e-05
