epoch,loss,accuracy,precision,recall,f1,lr
1,3.486916202565898,0.257133152173913,0.4281123495428862,0.257133152173913,0.24925245753247208,0.0001
2,2.7656432675278704,0.7734375,0.8083863886146296,0.7734375,0.7728879168797278,0.0001
3,1.5757635676342507,0.8821331521739131,0.8880903817225664,0.8821331521739131,0.8801042874865487,0.0001
4,1.0685168880483378,0.9256114130434783,0.9263143391347989,0.9256114130434783,0.925374089759772,0.0001
5,0.9046847133532815,0.9616168478260869,0.9619400232222436,0.9616168478260869,0.9615916516775127,0.0001
6,0.826738540245139,0.9724864130434783,0.9728609871485112,0.9724864130434783,0.9725930623664658,0.0001
7,0.7818398922681808,0.9874320652173914,0.9876286636302302,0.9874320652173914,0.9874221475041749,0.0001
8,0.7557940269293992,0.9901494565217391,0.9902087924241165,0.9901494565217391,0.9901430479352796,0.0001
9,0.7330942529699077,0.9952445652173914,0.9953186834162651,0.9952445652173914,0.9952374533727486,0.0001
10,0.7254121290600818,0.9972826086956522,0.9973249752062819,0.9972826086956522,0.9972847819927197,0.0001
11,0.717527797040732,0.9966032608695652,0.9966161142536639,0.9966032608695652,0.9966012820169502,0.0001
12,0.7103821842566781,0.998641304347826,0.998649916106212,0.998641304347826,0.998641319050415,0.0001
13,0.7043743042842202,0.998641304347826,0.9986534888660662,0.998641304347826,0.9986411600085233,0.0001
14,0.6989479233389315,0.9993206521739131,0.9993292004727693,0.9993206521739131,0.99932067308368,0.0001
15,0.6935799860435984,1.0,1.0,1.0,1.0,0.0001
16,0.6915419587622518,0.9993206521739131,0.9993292140242894,0.9993206521739131,0.999320566790543,1e-05
17,0.6904425504414932,0.9996603260869565,0.9996646808807135,0.9996603260869565,0.999660404821493,1e-05
18,0.6916896078897559,1.0,1.0,1.0,1.0,1e-05
19,0.6914714950582256,0.9993206521739131,0.9993293617614271,0.9993206521739131,0.9993208334321736,1e-05
20,0.6887384108875109,0.9996603260869565,0.9996642303848076,0.9996603260869565,0.9996602529155395,1e-05
21,0.6898001827623533,0.9996603260869565,0.9996647954805491,0.9996603260869565,0.999660421520125,1e-05
22,0.6904843559731608,0.9993206521739131,0.9993286456076362,0.9993206521739131,0.9993204974268565,1e-05
23,0.6912527648003205,0.9993206521739131,0.9993285558418031,0.9993206521739131,0.99932051262534,1e-05
24,0.6879212052925773,1.0,1.0,1.0,1.0,1e-05
25,0.6880424715902494,1.0,1.0,1.0,1.0,1e-05
26,0.6865046393612156,1.0,1.0,1.0,1.0,1e-05
27,0.6867298697647841,1.0,1.0,1.0,1.0,1.0000000000000002e-06
28,0.6877249420984931,1.0,1.0,1.0,1.0,1.0000000000000002e-06
29,0.6863054348074872,0.9996603260869565,0.9996642303848076,0.9996603260869565,0.9996601977580007,1.0000000000000002e-06
30,0.6886251834423646,1.0,1.0,1.0,1.0,1.0000000000000002e-06
31,0.688649968608566,1.0,1.0,1.0,1.0,1.0000000000000002e-06
32,0.6858919632175694,1.0,1.0,1.0,1.0,1.0000000000000002e-07
33,0.6870595553646917,0.9996603260869565,0.9996646257567419,0.9996603260869565,0.9996603121287105,1.0000000000000002e-07
34,0.6856663097505984,1.0,1.0,1.0,1.0,1.0000000000000002e-07
35,0.6875781844491544,1.0,1.0,1.0,1.0,1.0000000000000002e-07
36,0.6873133428718733,0.9996603260869565,0.9996642757836198,0.9996603260869565,0.9996602092400653,1.0000000000000002e-07
