epoch,loss,accuracy,precision,recall,f1,lr
1,3.497891858867977,0.2027853260869565,0.3854693567224526,0.2027853260869565,0.19605157221722957,0.0001
2,2.8152610374533613,0.7034646739130435,0.7692074797594382,0.7034646739130435,0.70435001568071,0.0001
3,1.6464923477691153,0.8471467391304348,0.8559705297665666,0.8471467391304348,0.8452870459171704,0.0001
4,1.1567340272924174,0.8967391304347826,0.8991420773130241,0.8967391304347826,0.8961694115754643,0.0001
5,0.9933162182569504,0.9273097826086957,0.9277442027492764,0.9273097826086957,0.9272439732844721,0.0001
6,0.919483382416808,0.938858695652174,0.9394875235128622,0.938858695652174,0.9388114926957303,0.0001
7,0.8672822985960089,0.9510869565217391,0.9517074044826309,0.9510869565217391,0.9511850345490346,0.0001
8,0.8389058825762375,0.9572010869565217,0.9578105311062329,0.9572010869565217,0.9570743869629156,0.0001
9,0.8078995865324269,0.9721467391304348,0.9723271198918325,0.9721467391304348,0.9721165603778078,0.0001
10,0.7833899674208268,0.9765625,0.9767730725922905,0.9765625,0.9765947908534326,0.0001
11,0.7788381071194358,0.9758831521739131,0.9762377126688919,0.9758831521739131,0.9758984732405741,0.0001
12,0.7580082410055659,0.985733695652174,0.9858981322586114,0.985733695652174,0.9857512538371305,0.0001
13,0.7480793958124907,0.984375,0.9845726473864649,0.984375,0.9843733922610278,0.0001
14,0.743065577486287,0.9877717391304348,0.9879165038617883,0.9877717391304348,0.9877700590309343,0.0001
15,0.7318987159625344,0.9891304347826086,0.9892109346383718,0.9891304347826086,0.9891236254459561,0.0001
16,0.7222126871347427,0.9945652173913043,0.9946606791467635,0.9945652173913043,0.994565595108767,0.0001
17,0.7173817384502162,0.9955842391304348,0.9956182370478439,0.9955842391304348,0.9955777663485853,0.0001
18,0.7150614760492159,0.9928668478260869,0.9929053818761485,0.9928668478260869,0.9928651756648214,0.0001
19,0.7078866168208744,0.9966032608695652,0.9966671755695021,0.9966032608695652,0.9966077498962378,1e-05
20,0.710597311672957,0.9952445652173914,0.9953054034566567,0.9952445652173914,0.9952455936314202,1e-05
21,0.7023360210916271,0.9969429347826086,0.9969897605306717,0.9969429347826086,0.9969411799051974,1e-05
22,0.707138501431631,0.9949048913043478,0.9949674220350668,0.9949048913043478,0.9949070162359245,1e-05
23,0.702673244735469,0.9972826086956522,0.997303144171332,0.9972826086956522,0.99728229812546,1e-05
